tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
854,0.854,C,submit,elevator_bus1,elevator_controller1,0,RequestService,elevator_controller1#1,,UNBOUND
854,0.854,C,submit,elevator_controller1_bus,elevator1,0,RequestService,elevator1#2,,UNBOUND
854,0.854,D,respond,elevator_controller1_bus,elevator1,0,RequestService,elevator1#2,,,ACCEPTED_SERVICING
854,0.854,C,submit,elevator_controller1_bus,elevator2,0,RequestService,elevator2#3,,UNBOUND
854,0.854,D,respond,elevator_controller1_bus,elevator2,0,RequestService,elevator2#3,,,ACCEPTED_SERVICING
854,0.854,D,respond,elevator_bus1,elevator_controller1,0,RequestService,elevator_controller1#1,,,ACCEPTED_SERVICING
854,0.854,B,notify,elevator_controller1_bus,elevator2,1,RequestService,elevator2#3,,SERVICE,
854,0.854,B,service,elevator_controller1_bus,elevator2,1,RequestService,elevator2#3,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,30.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
854,0.854,B,notify,elevator_controller1_bus,elevator1,1,RequestService,elevator1#2,,SERVICE,
854,0.854,B,service,elevator_controller1_bus,elevator1,1,RequestService,elevator1#2,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,30.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
854,0.854,B,notify,elevator_bus1,elevator_controller1,1,RequestService,elevator_controller1#1,,SERVICE,
855,0.855,B,notify,elevator_controller1_bus,elevator2,2,RequestService,elevator2#3,,SERVICE,
855,0.855,B,service,elevator_controller1_bus,elevator2,2,RequestService,elevator2#3,,SERVICE,,2,_valueCurrent=,0.1,valueTarget=,30.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
855,0.855,B,notify,elevator_controller1_bus,elevator1,2,RequestService,elevator1#2,,SERVICE,
855,0.855,B,service,elevator_controller1_bus,elevator1,2,RequestService,elevator1#2,,SERVICE,,3,_valueCurrent=,0.1,valueTarget=,30.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
855,0.855,B,notify,elevator_bus1,elevator_controller1,2,RequestService,elevator_controller1#1,,SERVICE,
856,0.856,B,notify,elevator_controller1_bus,elevator2,3,RequestService,elevator2#3,,SERVICE,
856,0.856,B,service,elevator_controller1_bus,elevator2,3,RequestService,elevator2#3,,SERVICE,,4,_valueCurrent=,0.30000000000000004,valueTarget=,30.0,_speedCurrent=,0.30000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
