tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
571,0.571,C,submit,flap_bus1,flap_controller4,0,RequestService,flap_controller4#1,,UNBOUND
571,0.571,C,submit,flap_controller4_bus,flap_fowler1,0,RequestService,flap_fowler1#2,,UNBOUND
571,0.571,D,respond,flap_controller4_bus,flap_fowler1,0,RequestService,flap_fowler1#2,,,ACCEPTED_SERVICING
571,0.571,C,submit,flap_controller4_bus,flap_fowler2,0,RequestService,flap_fowler2#3,,UNBOUND
571,0.571,D,respond,flap_controller4_bus,flap_fowler2,0,RequestService,flap_fowler2#3,,,ACCEPTED_SERVICING
571,0.571,C,submit,flap_controller4_bus,flap_split1,0,RequestService,flap_split1#4,,UNBOUND
571,0.571,D,respond,flap_controller4_bus,flap_split1,0,RequestService,flap_split1#4,,,ACCEPTED_SERVICING
571,0.571,C,submit,flap_controller4_bus,flap_split2,0,RequestService,flap_split2#5,,UNBOUND
571,0.571,D,respond,flap_controller4_bus,flap_split2,0,RequestService,flap_split2#5,,,ACCEPTED_SERVICING
571,0.571,D,respond,flap_bus1,flap_controller4,0,RequestService,flap_controller4#1,,,ACCEPTED_SERVICING
571,0.571,B,notify,flap_controller4_bus,flap_fowler2,1,RequestService,flap_fowler2#3,,SERVICE,
571,0.571,B,service,flap_controller4_bus,flap_fowler2,1,RequestService,flap_fowler2#3,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,55.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
571,0.571,B,notify,flap_controller4_bus,flap_split1,1,RequestService,flap_split1#4,,SERVICE,
571,0.571,B,service,flap_controller4_bus,flap_split1,1,RequestService,flap_split1#4,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,50.0,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
571,0.571,B,notify,flap_controller4_bus,flap_fowler1,1,RequestService,flap_fowler1#2,,SERVICE,
571,0.571,B,service,flap_controller4_bus,flap_fowler1,1,RequestService,flap_fowler1#2,,SERVICE,,2,_valueCurrent=,0.0,valueTarget=,55.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
571,0.571,B,notify,flap_controller4_bus,flap_split2,1,RequestService,flap_split2#5,,SERVICE,
571,0.571,B,service,flap_controller4_bus,flap_split2,1,RequestService,flap_split2#5,,SERVICE,,3,_valueCurrent=,0.0,valueTarget=,50.0,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
571,0.571,B,notify,flap_bus1,flap_controller4,1,RequestService,flap_controller4#1,,SERVICE,
572,0.572,B,notify,flap_controller4_bus,flap_fowler2,2,RequestService,flap_fowler2#3,,SERVICE,
