tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
1055,1.055,C,submit,elevator_bus1,elevator_controller2,0,RequestService,elevator_controller2#1,,UNBOUND
1055,1.055,C,submit,elevator_controller2_bus,elevator1,0,RequestService,elevator1#2,,UNBOUND
1055,1.055,D,respond,elevator_controller2_bus,elevator1,0,RequestService,elevator1#2,,,ACCEPTED_SERVICING
1055,1.055,C,submit,elevator_controller2_bus,elevator3,0,RequestService,elevator3#3,,UNBOUND
1055,1.055,D,respond,elevator_controller2_bus,elevator3,0,RequestService,elevator3#3,,,ACCEPTED_SERVICING
1055,1.055,D,respond,elevator_bus1,elevator_controller2,0,RequestService,elevator_controller2#1,,,ACCEPTED_SERVICING
1055,1.055,B,notify,elevator_controller2_bus,elevator3,1,RequestService,elevator3#3,,SERVICE,
1055,1.055,B,service,elevator_controller2_bus,elevator3,1,RequestService,elevator3#3,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,30.0,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1055,1.055,B,notify,elevator_controller2_bus,elevator1,1,RequestService,elevator1#2,,SERVICE,
1055,1.055,B,service,elevator_controller2_bus,elevator1,1,RequestService,elevator1#2,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,30.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1055,1.055,B,notify,elevator_bus1,elevator_controller2,1,RequestService,elevator_controller2#1,,SERVICE,
1056,1.056,B,notify,elevator_controller2_bus,elevator3,2,RequestService,elevator3#3,,SERVICE,
1056,1.056,B,service,elevator_controller2_bus,elevator3,2,RequestService,elevator3#3,,SERVICE,,2,_valueCurrent=,0.15,valueTarget=,30.0,_speedCurrent=,0.3,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1056,1.056,B,notify,elevator_controller2_bus,elevator1,2,RequestService,elevator1#2,,SERVICE,
1056,1.056,B,service,elevator_controller2_bus,elevator1,2,RequestService,elevator1#2,,SERVICE,,3,_valueCurrent=,0.1,valueTarget=,30.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1056,1.056,B,notify,elevator_bus1,elevator_controller2,2,RequestService,elevator_controller2#1,,SERVICE,
1057,1.057,B,notify,elevator_controller2_bus,elevator3,3,RequestService,elevator3#3,,SERVICE,
1057,1.057,B,service,elevator_controller2_bus,elevator3,3,RequestService,elevator3#3,,SERVICE,,4,_valueCurrent=,0.44999999999999996,valueTarget=,30.0,_speedCurrent=,0.44999999999999996,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1057,1.057,B,notify,elevator_controller2_bus,elevator1,3,RequestService,elevator1#2,,SERVICE,
1057,1.057,B,service,elevator_controller2_bus,elevator1,3,RequestService,elevator1#2,,SERVICE,,5,_valueCurrent=,0.30000000000000004,valueTarget=,30.0,_speedCurrent=,0.30000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
1057,1.057,B,notify,elevator_bus1,elevator_controller2,3,RequestService,elevator_controller2#1,,SERVICE,
1058,1.058,B,notify,elevator_controller2_bus,elevator3,4,RequestService,elevator3#3,,SERVICE,
