tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
502,0.502,C,submit,engine_bus1,engine_controller3,0,RequestService,engine_controller3#1,,UNBOUND
502,0.502,C,submit,engine_controller3_bus,engine1,0,RequestService,engine1#2,,UNBOUND
502,0.502,D,respond,engine_controller3_bus,engine1,0,RequestService,engine1#2,,,ACCEPTED_SERVICING
502,0.502,C,submit,engine_controller3_bus,engine2,0,RequestService,engine2#3,,UNBOUND
502,0.502,D,respond,engine_controller3_bus,engine2,0,RequestService,engine2#3,,,ACCEPTED_SERVICING
502,0.502,C,submit,engine_controller3_bus,engine3,0,RequestService,engine3#4,,UNBOUND
502,0.502,D,respond,engine_controller3_bus,engine3,0,RequestService,engine3#4,,,ACCEPTED_SERVICING
502,0.502,D,respond,engine_bus1,engine_controller3,0,RequestService,engine_controller3#1,,,ACCEPTED_SERVICING
502,0.502,B,notify,engine_controller3_bus,engine3,1,RequestService,engine3#4,,SERVICE,
502,0.502,B,service,engine_controller3_bus,engine3,1,RequestService,engine3#4,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,70.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
502,0.502,B,notify,engine_controller3_bus,engine2,1,RequestService,engine2#3,,SERVICE,
502,0.502,B,service,engine_controller3_bus,engine2,1,RequestService,engine2#3,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,70.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
502,0.502,B,notify,engine_controller3_bus,engine1,1,RequestService,engine1#2,,SERVICE,
502,0.502,B,service,engine_controller3_bus,engine1,1,RequestService,engine1#2,,SERVICE,,2,_valueCurrent=,0.0,valueTarget=,70.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
502,0.502,B,notify,engine_bus1,engine_controller3,1,RequestService,engine_controller3#1,,SERVICE,
503,0.503,B,notify,engine_controller3_bus,engine3,2,RequestService,engine3#4,,SERVICE,
503,0.503,B,service,engine_controller3_bus,engine3,2,RequestService,engine3#4,,SERVICE,,3,_valueCurrent=,0.2,valueTarget=,70.0,_speedCurrent=,0.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
503,0.503,B,notify,engine_controller3_bus,engine2,2,RequestService,engine2#3,,SERVICE,
503,0.503,B,service,engine_controller3_bus,engine2,2,RequestService,engine2#3,,SERVICE,,4,_valueCurrent=,0.2,valueTarget=,70.0,_speedCurrent=,0.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
503,0.503,B,notify,engine_controller3_bus,engine1,2,RequestService,engine1#2,,SERVICE,
503,0.503,B,service,engine_controller3_bus,engine1,2,RequestService,engine1#2,,SERVICE,,5,_valueCurrent=,0.2,valueTarget=,70.0,_speedCurrent=,0.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
503,0.503,B,notify,engine_bus1,engine_controller3,2,RequestService,engine_controller3#1,,SERVICE,
504,0.504,B,notify,engine_controller3_bus,engine3,3,RequestService,engine3#4,,SERVICE,
504,0.504,B,service,engine_controller3_bus,engine3,3,RequestService,engine3#4,,SERVICE,,6,_valueCurrent=,0.6000000000000001,valueTarget=,70.0,_speedCurrent=,0.6000000000000001,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
504,0.504,B,notify,engine_controller3_bus,engine2,3,RequestService,engine2#3,,SERVICE,
504,0.504,B,service,engine_controller3_bus,engine2,3,RequestService,engine2#3,,SERVICE,,7,_valueCurrent=,0.6000000000000001,valueTarget=,70.0,_speedCurrent=,0.6000000000000001,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
504,0.504,B,notify,engine_controller3_bus,engine1,3,RequestService,engine1#2,,SERVICE,
504,0.504,B,service,engine_controller3_bus,engine1,3,RequestService,engine1#2,,SERVICE,,8,_valueCurrent=,0.6000000000000001,valueTarget=,70.0,_speedCurrent=,0.6000000000000001,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
504,0.504,B,notify,engine_bus1,engine_controller3,3,RequestService,engine_controller3#1,,SERVICE,
505,0.505,B,notify,engine_controller3_bus,engine3,4,RequestService,engine3#4,,SERVICE,
505,0.505,B,service,engine_controller3_bus,engine3,4,RequestService,engine3#4,,SERVICE,,9,_valueCurrent=,1.2000000000000002,valueTarget=,70.0,_speedCurrent=,0.8,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
505,0.505,B,notify,engine_controller3_bus,engine2,4,RequestService,engine2#3,,SERVICE,
505,0.505,B,service,engine_controller3_bus,engine2,4,RequestService,engine2#3,,SERVICE,,10,_valueCurrent=,1.2000000000000002,valueTarget=,70.0,_speedCurrent=,0.8,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
505,0.505,B,notify,engine_controller3_bus,engine1,4,RequestService,engine1#2,,SERVICE,
505,0.505,B,service,engine_controller3_bus,engine1,4,RequestService,engine1#2,,SERVICE,,11,_valueCurrent=,1.2000000000000002,valueTarget=,70.0,_speedCurrent=,0.8,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
