tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
979,0.979,C,submit,aileron_bus1,aileron_controller2,0,RequestService,aileron_controller2#1,,UNBOUND
979,0.979,C,submit,aileron_controller2_bus,aileron1,0,RequestService,aileron1#2,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron1,0,RequestService,aileron1#2,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron3,0,RequestService,aileron3#3,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron3,0,RequestService,aileron3#3,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron5,0,RequestService,aileron5#4,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron5,0,RequestService,aileron5#4,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron7,0,RequestService,aileron7#5,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron7,0,RequestService,aileron7#5,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron8,0,RequestService,aileron8#6,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron8,0,RequestService,aileron8#6,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron6,0,RequestService,aileron6#7,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron6,0,RequestService,aileron6#7,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron4,0,RequestService,aileron4#8,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron4,0,RequestService,aileron4#8,,,ACCEPTED_SERVICING
979,0.979,C,submit,aileron_controller2_bus,aileron2,0,RequestService,aileron2#9,,UNBOUND
979,0.979,D,respond,aileron_controller2_bus,aileron2,0,RequestService,aileron2#9,,,ACCEPTED_SERVICING
979,0.979,D,respond,aileron_bus1,aileron_controller2,0,RequestService,aileron_controller2#1,,,ACCEPTED_SERVICING
979,0.979,B,notify,aileron_controller2_bus,aileron1,1,RequestService,aileron1#2,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron1,1,RequestService,aileron1#2,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron2,1,RequestService,aileron2#9,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron2,1,RequestService,aileron2#9,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,-45.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron3,1,RequestService,aileron3#3,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron3,1,RequestService,aileron3#3,,SERVICE,,2,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron4,1,RequestService,aileron4#8,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron4,1,RequestService,aileron4#8,,SERVICE,,3,_valueCurrent=,0.0,valueTarget=,-45.0,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron5,1,RequestService,aileron5#4,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron5,1,RequestService,aileron5#4,,SERVICE,,4,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron6,1,RequestService,aileron6#7,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron6,1,RequestService,aileron6#7,,SERVICE,,5,_valueCurrent=,0.0,valueTarget=,-45.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron7,1,RequestService,aileron7#5,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron7,1,RequestService,aileron7#5,,SERVICE,,6,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,0.25,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_controller2_bus,aileron8,1,RequestService,aileron8#6,,SERVICE,
979,0.979,B,service,aileron_controller2_bus,aileron8,1,RequestService,aileron8#6,,SERVICE,,7,_valueCurrent=,0.0,valueTarget=,-45.0,_speedCurrent=,0.25,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
979,0.979,B,notify,aileron_bus1,aileron_controller2,1,RequestService,aileron_controller2#1,,SERVICE,
980,0.980,B,notify,aileron_controller2_bus,aileron1,2,RequestService,aileron1#2,,SERVICE,
980,0.980,B,service,aileron_controller2_bus,aileron1,2,RequestService,aileron1#2,,SERVICE,,8,_valueCurrent=,0.1,valueTarget=,45.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
980,0.980,B,notify,aileron_controller2_bus,aileron2,2,RequestService,aileron2#9,,SERVICE,
