tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
804,0.804,B,notify,rudder_bus1,rudder_controller1,59,RequestService,rudder_controller1#1,,SERVICE,
805,0.805,B,notify,rudder_controller1_bus,rudder1,15,RequestService,rudder1#4,,SERVICE,
805,0.805,B,service,rudder_controller1_bus,rudder1,15,RequestService,rudder1#4,,SERVICE,,59,_valueCurrent=,-33.0,valueTarget=,45.0,_speedCurrent=,1.6000000000000003,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
805,0.805,B,notify,rudder_bus1,rudder_controller1,60,RequestService,rudder_controller1#1,,SERVICE,
806,0.806,B,notify,rudder_controller1_bus,rudder1,16,RequestService,rudder1#4,,SERVICE,
806,0.806,B,service,rudder_controller1_bus,rudder1,16,RequestService,rudder1#4,,SERVICE,,60,_valueCurrent=,-31.4,valueTarget=,45.0,_speedCurrent=,1.7000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
806,0.806,B,notify,rudder_bus1,rudder_controller1,61,RequestService,rudder_controller1#1,,SERVICE,
807,0.807,B,notify,rudder_controller1_bus,rudder1,17,RequestService,rudder1#4,,SERVICE,
807,0.807,B,service,rudder_controller1_bus,rudder1,17,RequestService,rudder1#4,,SERVICE,,61,_valueCurrent=,-29.7,valueTarget=,45.0,_speedCurrent=,1.8000000000000005,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
807,0.807,B,notify,rudder_bus1,rudder_controller1,62,RequestService,rudder_controller1#1,,SERVICE,
808,0.808,B,notify,rudder_controller1_bus,rudder1,18,RequestService,rudder1#4,,SERVICE,
808,0.808,B,service,rudder_controller1_bus,rudder1,18,RequestService,rudder1#4,,SERVICE,,62,_valueCurrent=,-27.9,valueTarget=,45.0,_speedCurrent=,1.9000000000000006,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
808,0.808,B,notify,rudder_bus1,rudder_controller1,63,RequestService,rudder_controller1#1,,SERVICE,
809,0.809,B,notify,rudder_controller1_bus,rudder1,19,RequestService,rudder1#4,,SERVICE,
809,0.809,B,service,rudder_controller1_bus,rudder1,19,RequestService,rudder1#4,,SERVICE,,63,_valueCurrent=,-25.999999999999996,valueTarget=,45.0,_speedCurrent=,2.0000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
809,0.809,B,notify,rudder_bus1,rudder_controller1,64,RequestService,rudder_controller1#1,,SERVICE,
810,0.810,B,notify,rudder_controller1_bus,rudder1,20,RequestService,rudder1#4,,SERVICE,
810,0.810,B,service,rudder_controller1_bus,rudder1,20,RequestService,rudder1#4,,SERVICE,,64,_valueCurrent=,-23.999999999999996,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
810,0.810,B,notify,rudder_bus1,rudder_controller1,65,RequestService,rudder_controller1#1,,SERVICE,
811,0.811,B,notify,rudder_controller1_bus,rudder1,21,RequestService,rudder1#4,,SERVICE,
811,0.811,B,service,rudder_controller1_bus,rudder1,21,RequestService,rudder1#4,,SERVICE,,65,_valueCurrent=,-21.899999999999995,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
811,0.811,B,notify,rudder_bus1,rudder_controller1,66,RequestService,rudder_controller1#1,,SERVICE,
812,0.812,B,notify,rudder_controller1_bus,rudder1,22,RequestService,rudder1#4,,SERVICE,
812,0.812,B,service,rudder_controller1_bus,rudder1,22,RequestService,rudder1#4,,SERVICE,,66,_valueCurrent=,-19.799999999999994,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
812,0.812,B,notify,rudder_bus1,rudder_controller1,67,RequestService,rudder_controller1#1,,SERVICE,
813,0.813,B,notify,rudder_controller1_bus,rudder1,23,RequestService,rudder1#4,,SERVICE,
813,0.813,B,service,rudder_controller1_bus,rudder1,23,RequestService,rudder1#4,,SERVICE,,67,_valueCurrent=,-17.699999999999992,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
813,0.813,B,notify,rudder_bus1,rudder_controller1,68,RequestService,rudder_controller1#1,,SERVICE,
814,0.814,B,notify,rudder_controller1_bus,rudder1,24,RequestService,rudder1#4,,SERVICE,
814,0.814,B,service,rudder_controller1_bus,rudder1,24,RequestService,rudder1#4,,SERVICE,,68,_valueCurrent=,-15.59999999999999,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
814,0.814,B,notify,rudder_bus1,rudder_controller1,69,RequestService,rudder_controller1#1,,SERVICE,
815,0.815,B,notify,rudder_controller1_bus,rudder1,25,RequestService,rudder1#4,,SERVICE,
815,0.815,B,service,rudder_controller1_bus,rudder1,25,RequestService,rudder1#4,,SERVICE,,69,_valueCurrent=,-13.49999999999999,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
815,0.815,B,notify,rudder_bus1,rudder_controller1,70,RequestService,rudder_controller1#1,,SERVICE,
816,0.816,B,notify,rudder_controller1_bus,rudder1,26,RequestService,rudder1#4,,SERVICE,
816,0.816,B,service,rudder_controller1_bus,rudder1,26,RequestService,rudder1#4,,SERVICE,,70,_valueCurrent=,-11.399999999999988,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
816,0.816,B,notify,rudder_bus1,rudder_controller1,71,RequestService,rudder_controller1#1,,SERVICE,
817,0.817,B,notify,rudder_controller1_bus,rudder1,27,RequestService,rudder1#4,,SERVICE,
817,0.817,B,service,rudder_controller1_bus,rudder1,27,RequestService,rudder1#4,,SERVICE,,71,_valueCurrent=,-9.299999999999986,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
817,0.817,B,notify,rudder_bus1,rudder_controller1,72,RequestService,rudder_controller1#1,,SERVICE,
818,0.818,B,notify,rudder_controller1_bus,rudder1,28,RequestService,rudder1#4,,SERVICE,
818,0.818,B,service,rudder_controller1_bus,rudder1,28,RequestService,rudder1#4,,SERVICE,,72,_valueCurrent=,-7.199999999999986,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
818,0.818,B,notify,rudder_bus1,rudder_controller1,73,RequestService,rudder_controller1#1,,SERVICE,
819,0.819,B,notify,rudder_controller1_bus,rudder1,29,RequestService,rudder1#4,,SERVICE,
819,0.819,B,service,rudder_controller1_bus,rudder1,29,RequestService,rudder1#4,,SERVICE,,73,_valueCurrent=,-5.099999999999985,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
819,0.819,B,notify,rudder_bus1,rudder_controller1,74,RequestService,rudder_controller1#1,,SERVICE,
820,0.820,B,notify,rudder_controller1_bus,rudder1,30,RequestService,rudder1#4,,SERVICE,
820,0.820,B,service,rudder_controller1_bus,rudder1,30,RequestService,rudder1#4,,SERVICE,,74,_valueCurrent=,-2.999999999999985,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
820,0.820,B,notify,rudder_bus1,rudder_controller1,75,RequestService,rudder_controller1#1,,SERVICE,
821,0.821,B,notify,rudder_controller1_bus,rudder1,31,RequestService,rudder1#4,,SERVICE,
821,0.821,B,service,rudder_controller1_bus,rudder1,31,RequestService,rudder1#4,,SERVICE,,75,_valueCurrent=,-0.8999999999999844,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
821,0.821,B,notify,rudder_bus1,rudder_controller1,76,RequestService,rudder_controller1#1,,SERVICE,
822,0.822,B,notify,rudder_controller1_bus,rudder1,32,RequestService,rudder1#4,,SERVICE,
822,0.822,B,service,rudder_controller1_bus,rudder1,32,RequestService,rudder1#4,,SERVICE,,76,_valueCurrent=,1.2000000000000162,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
822,0.822,B,notify,rudder_bus1,rudder_controller1,77,RequestService,rudder_controller1#1,,SERVICE,
823,0.823,B,notify,rudder_controller1_bus,rudder1,33,RequestService,rudder1#4,,SERVICE,
823,0.823,B,service,rudder_controller1_bus,rudder1,33,RequestService,rudder1#4,,SERVICE,,77,_valueCurrent=,3.3000000000000167,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
823,0.823,B,notify,rudder_bus1,rudder_controller1,78,RequestService,rudder_controller1#1,,SERVICE,
824,0.824,B,notify,rudder_controller1_bus,rudder1,34,RequestService,rudder1#4,,SERVICE,
824,0.824,B,service,rudder_controller1_bus,rudder1,34,RequestService,rudder1#4,,SERVICE,,78,_valueCurrent=,5.400000000000017,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
824,0.824,B,notify,rudder_bus1,rudder_controller1,79,RequestService,rudder_controller1#1,,SERVICE,
825,0.825,B,notify,rudder_controller1_bus,rudder1,35,RequestService,rudder1#4,,SERVICE,
825,0.825,B,service,rudder_controller1_bus,rudder1,35,RequestService,rudder1#4,,SERVICE,,79,_valueCurrent=,7.500000000000018,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
825,0.825,B,notify,rudder_bus1,rudder_controller1,80,RequestService,rudder_controller1#1,,SERVICE,
826,0.826,B,notify,rudder_controller1_bus,rudder1,36,RequestService,rudder1#4,,SERVICE,
826,0.826,B,service,rudder_controller1_bus,rudder1,36,RequestService,rudder1#4,,SERVICE,,80,_valueCurrent=,9.60000000000002,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
826,0.826,B,notify,rudder_bus1,rudder_controller1,81,RequestService,rudder_controller1#1,,SERVICE,
827,0.827,B,notify,rudder_controller1_bus,rudder1,37,RequestService,rudder1#4,,SERVICE,
827,0.827,B,service,rudder_controller1_bus,rudder1,37,RequestService,rudder1#4,,SERVICE,,81,_valueCurrent=,11.70000000000002,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
827,0.827,B,notify,rudder_bus1,rudder_controller1,82,RequestService,rudder_controller1#1,,SERVICE,
828,0.828,B,notify,rudder_controller1_bus,rudder1,38,RequestService,rudder1#4,,SERVICE,
828,0.828,B,service,rudder_controller1_bus,rudder1,38,RequestService,rudder1#4,,SERVICE,,82,_valueCurrent=,13.800000000000022,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
828,0.828,B,notify,rudder_bus1,rudder_controller1,83,RequestService,rudder_controller1#1,,SERVICE,
829,0.829,B,notify,rudder_controller1_bus,rudder1,39,RequestService,rudder1#4,,SERVICE,
829,0.829,B,service,rudder_controller1_bus,rudder1,39,RequestService,rudder1#4,,SERVICE,,83,_valueCurrent=,15.900000000000023,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
829,0.829,B,notify,rudder_bus1,rudder_controller1,84,RequestService,rudder_controller1#1,,SERVICE,
830,0.830,B,notify,rudder_controller1_bus,rudder1,40,RequestService,rudder1#4,,SERVICE,
830,0.830,B,service,rudder_controller1_bus,rudder1,40,RequestService,rudder1#4,,SERVICE,,84,_valueCurrent=,18.000000000000025,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
830,0.830,B,notify,rudder_bus1,rudder_controller1,85,RequestService,rudder_controller1#1,,SERVICE,
831,0.831,B,notify,rudder_controller1_bus,rudder1,41,RequestService,rudder1#4,,SERVICE,
831,0.831,B,service,rudder_controller1_bus,rudder1,41,RequestService,rudder1#4,,SERVICE,,85,_valueCurrent=,20.100000000000026,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
831,0.831,B,notify,rudder_bus1,rudder_controller1,86,RequestService,rudder_controller1#1,,SERVICE,
832,0.832,B,notify,rudder_controller1_bus,rudder1,42,RequestService,rudder1#4,,SERVICE,
832,0.832,B,service,rudder_controller1_bus,rudder1,42,RequestService,rudder1#4,,SERVICE,,86,_valueCurrent=,22.200000000000028,valueTarget=,45.0,_speedCurrent=,2.1000000000000005,speedChange=NONE,_isTerminating=false,isArrived=false
832,0.832,B,notify,rudder_bus1,rudder_controller1,87,RequestService,rudder_controller1#1,,SERVICE,
833,0.833,B,notify,rudder_controller1_bus,rudder1,43,RequestService,rudder1#4,,SERVICE,
833,0.833,B,service,rudder_controller1_bus,rudder1,43,RequestService,rudder1#4,,SERVICE,,87,_valueCurrent=,24.30000000000003,valueTarget=,45.0,_speedCurrent=,2.0000000000000004,speedChange=DECELERATING,_isTerminating=false,isArrived=false
833,0.833,B,notify,rudder_bus1,rudder_controller1,88,RequestService,rudder_controller1#1,,SERVICE,
834,0.834,B,notify,rudder_controller1_bus,rudder1,44,RequestService,rudder1#4,,SERVICE,
834,0.834,B,service,rudder_controller1_bus,rudder1,44,RequestService,rudder1#4,,SERVICE,,88,_valueCurrent=,26.30000000000003,valueTarget=,45.0,_speedCurrent=,1.9000000000000004,speedChange=DECELERATING,_isTerminating=false,isArrived=false
834,0.834,B,notify,rudder_bus1,rudder_controller1,89,RequestService,rudder_controller1#1,,SERVICE,
835,0.835,B,notify,rudder_controller1_bus,rudder1,45,RequestService,rudder1#4,,SERVICE,
835,0.835,B,service,rudder_controller1_bus,rudder1,45,RequestService,rudder1#4,,SERVICE,,89,_valueCurrent=,28.20000000000003,valueTarget=,45.0,_speedCurrent=,1.8000000000000003,speedChange=DECELERATING,_isTerminating=false,isArrived=false
835,0.835,B,notify,rudder_bus1,rudder_controller1,90,RequestService,rudder_controller1#1,,SERVICE,
836,0.836,B,notify,rudder_controller1_bus,rudder1,46,RequestService,rudder1#4,,SERVICE,
836,0.836,B,service,rudder_controller1_bus,rudder1,46,RequestService,rudder1#4,,SERVICE,,90,_valueCurrent=,30.000000000000032,valueTarget=,45.0,_speedCurrent=,1.7000000000000002,speedChange=DECELERATING,_isTerminating=false,isArrived=false
836,0.836,B,notify,rudder_bus1,rudder_controller1,91,RequestService,rudder_controller1#1,,SERVICE,
837,0.837,B,notify,rudder_controller1_bus,rudder1,47,RequestService,rudder1#4,,SERVICE,
837,0.837,B,service,rudder_controller1_bus,rudder1,47,RequestService,rudder1#4,,SERVICE,,91,_valueCurrent=,31.70000000000003,valueTarget=,45.0,_speedCurrent=,1.6,speedChange=DECELERATING,_isTerminating=false,isArrived=false
837,0.837,B,notify,rudder_bus1,rudder_controller1,92,RequestService,rudder_controller1#1,,SERVICE,
838,0.838,B,notify,rudder_controller1_bus,rudder1,48,RequestService,rudder1#4,,SERVICE,
838,0.838,B,service,rudder_controller1_bus,rudder1,48,RequestService,rudder1#4,,SERVICE,,92,_valueCurrent=,33.30000000000003,valueTarget=,45.0,_speedCurrent=,1.5,speedChange=DECELERATING,_isTerminating=false,isArrived=false
838,0.838,B,notify,rudder_bus1,rudder_controller1,93,RequestService,rudder_controller1#1,,SERVICE,
839,0.839,B,notify,rudder_controller1_bus,rudder1,49,RequestService,rudder1#4,,SERVICE,
839,0.839,B,service,rudder_controller1_bus,rudder1,49,RequestService,rudder1#4,,SERVICE,,93,_valueCurrent=,34.80000000000003,valueTarget=,45.0,_speedCurrent=,1.4,speedChange=DECELERATING,_isTerminating=false,isArrived=false
839,0.839,B,notify,rudder_bus1,rudder_controller1,94,RequestService,rudder_controller1#1,,SERVICE,
840,0.840,B,notify,rudder_controller1_bus,rudder1,50,RequestService,rudder1#4,,SERVICE,
840,0.840,B,service,rudder_controller1_bus,rudder1,50,RequestService,rudder1#4,,SERVICE,,94,_valueCurrent=,36.20000000000003,valueTarget=,45.0,_speedCurrent=,1.2999999999999998,speedChange=DECELERATING,_isTerminating=false,isArrived=false
840,0.840,B,notify,rudder_bus1,rudder_controller1,95,RequestService,rudder_controller1#1,,SERVICE,
841,0.841,B,notify,rudder_controller1_bus,rudder1,51,RequestService,rudder1#4,,SERVICE,
841,0.841,B,service,rudder_controller1_bus,rudder1,51,RequestService,rudder1#4,,SERVICE,,95,_valueCurrent=,37.50000000000003,valueTarget=,45.0,_speedCurrent=,1.1999999999999997,speedChange=DECELERATING,_isTerminating=false,isArrived=false
841,0.841,B,notify,rudder_bus1,rudder_controller1,96,RequestService,rudder_controller1#1,,SERVICE,
842,0.842,B,notify,rudder_controller1_bus,rudder1,52,RequestService,rudder1#4,,SERVICE,
842,0.842,B,service,rudder_controller1_bus,rudder1,52,RequestService,rudder1#4,,SERVICE,,96,_valueCurrent=,38.70000000000003,valueTarget=,45.0,_speedCurrent=,1.0999999999999996,speedChange=DECELERATING,_isTerminating=false,isArrived=false
842,0.842,B,notify,rudder_bus1,rudder_controller1,97,RequestService,rudder_controller1#1,,SERVICE,
843,0.843,B,notify,rudder_controller1_bus,rudder1,53,RequestService,rudder1#4,,SERVICE,
843,0.843,B,service,rudder_controller1_bus,rudder1,53,RequestService,rudder1#4,,SERVICE,,97,_valueCurrent=,39.80000000000003,valueTarget=,45.0,_speedCurrent=,0.9999999999999997,speedChange=DECELERATING,_isTerminating=false,isArrived=false
843,0.843,B,notify,rudder_bus1,rudder_controller1,98,RequestService,rudder_controller1#1,,SERVICE,
844,0.844,B,notify,rudder_controller1_bus,rudder1,54,RequestService,rudder1#4,,SERVICE,
844,0.844,B,service,rudder_controller1_bus,rudder1,54,RequestService,rudder1#4,,SERVICE,,98,_valueCurrent=,40.80000000000003,valueTarget=,45.0,_speedCurrent=,0.8999999999999997,speedChange=DECELERATING,_isTerminating=false,isArrived=false
844,0.844,B,notify,rudder_bus1,rudder_controller1,99,RequestService,rudder_controller1#1,,SERVICE,
845,0.845,B,notify,rudder_controller1_bus,rudder1,55,RequestService,rudder1#4,,SERVICE,
845,0.845,B,service,rudder_controller1_bus,rudder1,55,RequestService,rudder1#4,,SERVICE,,99,_valueCurrent=,41.70000000000003,valueTarget=,45.0,_speedCurrent=,0.7999999999999997,speedChange=DECELERATING,_isTerminating=false,isArrived=false
845,0.845,B,notify,rudder_bus1,rudder_controller1,100,RequestService,rudder_controller1#1,,SERVICE,
846,0.846,B,notify,rudder_controller1_bus,rudder1,56,RequestService,rudder1#4,,SERVICE,
846,0.846,B,service,rudder_controller1_bus,rudder1,56,RequestService,rudder1#4,,SERVICE,,100,_valueCurrent=,42.50000000000003,valueTarget=,45.0,_speedCurrent=,0.6999999999999997,speedChange=DECELERATING,_isTerminating=false,isArrived=false
846,0.846,B,notify,rudder_bus1,rudder_controller1,101,RequestService,rudder_controller1#1,,SERVICE,
847,0.847,B,notify,rudder_controller1_bus,rudder1,57,RequestService,rudder1#4,,SERVICE,
847,0.847,B,service,rudder_controller1_bus,rudder1,57,RequestService,rudder1#4,,SERVICE,,101,_valueCurrent=,43.20000000000003,valueTarget=,45.0,_speedCurrent=,0.5999999999999998,speedChange=DECELERATING,_isTerminating=false,isArrived=false
847,0.847,B,notify,rudder_bus1,rudder_controller1,102,RequestService,rudder_controller1#1,,SERVICE,
848,0.848,B,notify,rudder_controller1_bus,rudder1,58,RequestService,rudder1#4,,SERVICE,
848,0.848,B,service,rudder_controller1_bus,rudder1,58,RequestService,rudder1#4,,SERVICE,,102,_valueCurrent=,43.80000000000003,valueTarget=,45.0,_speedCurrent=,0.4999999999999998,speedChange=DECELERATING,_isTerminating=false,isArrived=false
848,0.848,B,notify,rudder_bus1,rudder_controller1,103,RequestService,rudder_controller1#1,,SERVICE,
849,0.849,B,notify,rudder_controller1_bus,rudder1,59,RequestService,rudder1#4,,SERVICE,
849,0.849,B,service,rudder_controller1_bus,rudder1,59,RequestService,rudder1#4,,SERVICE,,103,_valueCurrent=,44.30000000000003,valueTarget=,45.0,_speedCurrent=,0.3999999999999998,speedChange=DECELERATING,_isTerminating=false,isArrived=false
849,0.849,B,notify,rudder_bus1,rudder_controller1,104,RequestService,rudder_controller1#1,,SERVICE,
850,0.850,B,notify,rudder_controller1_bus,rudder1,60,RequestService,rudder1#4,,SERVICE,
850,0.850,B,service,rudder_controller1_bus,rudder1,60,RequestService,rudder1#4,,SERVICE,,104,_valueCurrent=,44.70000000000003,valueTarget=,45.0,_speedCurrent=,0.2999999999999998,speedChange=DECELERATING,_isTerminating=false,isArrived=false
850,0.850,B,notify,rudder_bus1,rudder_controller1,105,RequestService,rudder_controller1#1,,SERVICE,
851,0.851,B,notify,rudder_controller1_bus,rudder1,61,RequestService,rudder1#4,,SERVICE,
851,0.851,B,service,rudder_controller1_bus,rudder1,61,RequestService,rudder1#4,,SERVICE,,105,_valueCurrent=,45.0,valueTarget=,45.0,_speedCurrent=,0.19999999999999982,speedChange=DECELERATING,_isTerminating=false,isArrived=true
851,0.851,C,submit,rudder_controller1_bus,rudder1,0,RequestCancel,rudder1#6,rudder1#4,UNBOUND
851,0.851,B,notify,rudder_controller1_bus,rudder1,61,RequestService,rudder1#4,,CANCEL,
851,0.851,D,respond,rudder_controller1_bus,rudder1,0,RequestCancel,rudder1#6,rudder1#4,,ACCEPTED_SERVICING
851,0.851,B,notify,rudder_bus1,rudder_controller1,106,RequestService,rudder_controller1#1,,SERVICE,
852,0.852,B,notify,rudder_bus1,rudder_controller1,107,RequestService,rudder_controller1#1,,SERVICE,
853,0.853,B,notify,rudder_bus1,rudder_controller1,108,RequestService,rudder_controller1#1,,SERVICE,
854,0.854,B,notify,rudder_bus1,rudder_controller1,109,RequestService,rudder_controller1#1,,SERVICE,
855,0.855,B,notify,rudder_bus1,rudder_controller1,110,RequestService,rudder_controller1#1,,SERVICE,
856,0.856,C,submit,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#7,,UNBOUND
856,0.856,B,notify,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#3,,CANCEL,
856,0.856,B,notify,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#7,,TERMINATE,
856,0.856,C,submit,rudder_controller1_bus,rudder1,0,RequestService,rudder1#8,,UNBOUND
856,0.856,D,respond,rudder_controller1_bus,rudder1,0,RequestService,rudder1#8,,,ACCEPTED_SERVICING
856,0.856,D,respond,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#7,,,ACCEPTED_SERVICING
856,0.856,B,notify,rudder_controller1_bus,rudder1,1,RequestService,rudder1#8,,SERVICE,
856,0.856,B,service,rudder_controller1_bus,rudder1,1,RequestService,rudder1#8,,SERVICE,,106,_valueCurrent=,44.8,valueTarget=,-0.0,_speedCurrent=,0.2999999999999998,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
856,0.856,B,notify,rudder_bus1,rudder_controller1,111,RequestService,rudder_controller1#1,,SERVICE,
857,0.857,B,notify,rudder_controller1_bus,rudder1,2,RequestService,rudder1#8,,SERVICE,
857,0.857,B,service,rudder_controller1_bus,rudder1,2,RequestService,rudder1#8,,SERVICE,,107,_valueCurrent=,44.5,valueTarget=,-0.0,_speedCurrent=,0.3999999999999998,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
857,0.857,B,notify,rudder_bus1,rudder_controller1,112,RequestService,rudder_controller1#1,,SERVICE,
858,0.858,B,notify,rudder_controller1_bus,rudder1,3,RequestService,rudder1#8,,SERVICE,
858,0.858,B,service,rudder_controller1_bus,rudder1,3,RequestService,rudder1#8,,SERVICE,,108,_valueCurrent=,44.1,valueTarget=,-0.0,_speedCurrent=,0.4999999999999998,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
858,0.858,B,notify,rudder_bus1,rudder_controller1,113,RequestService,rudder_controller1#1,,SERVICE,
859,0.859,B,notify,rudder_controller1_bus,rudder1,4,RequestService,rudder1#8,,SERVICE,
859,0.859,B,service,rudder_controller1_bus,rudder1,4,RequestService,rudder1#8,,SERVICE,,109,_valueCurrent=,43.6,valueTarget=,-0.0,_speedCurrent=,0.5999999999999998,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
859,0.859,B,notify,rudder_bus1,rudder_controller1,114,RequestService,rudder_controller1#1,,SERVICE,
860,0.860,B,notify,rudder_controller1_bus,rudder1,5,RequestService,rudder1#8,,SERVICE,
860,0.860,B,service,rudder_controller1_bus,rudder1,5,RequestService,rudder1#8,,SERVICE,,110,_valueCurrent=,43.0,valueTarget=,-0.0,_speedCurrent=,0.6999999999999997,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
860,0.860,B,notify,rudder_bus1,rudder_controller1,115,RequestService,rudder_controller1#1,,SERVICE,
861,0.861,B,notify,rudder_controller1_bus,rudder1,6,RequestService,rudder1#8,,SERVICE,
861,0.861,B,service,rudder_controller1_bus,rudder1,6,RequestService,rudder1#8,,SERVICE,,111,_valueCurrent=,42.3,valueTarget=,-0.0,_speedCurrent=,0.7999999999999997,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
861,0.861,B,notify,rudder_bus1,rudder_controller1,116,RequestService,rudder_controller1#1,,SERVICE,
862,0.862,B,notify,rudder_controller1_bus,rudder1,7,RequestService,rudder1#8,,SERVICE,
862,0.862,B,service,rudder_controller1_bus,rudder1,7,RequestService,rudder1#8,,SERVICE,,112,_valueCurrent=,41.5,valueTarget=,-0.0,_speedCurrent=,0.8999999999999997,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
862,0.862,B,notify,rudder_bus1,rudder_controller1,117,RequestService,rudder_controller1#1,,SERVICE,
863,0.863,B,notify,rudder_controller1_bus,rudder1,8,RequestService,rudder1#8,,SERVICE,
863,0.863,B,service,rudder_controller1_bus,rudder1,8,RequestService,rudder1#8,,SERVICE,,113,_valueCurrent=,40.6,valueTarget=,-0.0,_speedCurrent=,0.9999999999999997,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
863,0.863,B,notify,rudder_bus1,rudder_controller1,118,RequestService,rudder_controller1#1,,SERVICE,
864,0.864,B,notify,rudder_controller1_bus,rudder1,9,RequestService,rudder1#8,,SERVICE,
864,0.864,B,service,rudder_controller1_bus,rudder1,9,RequestService,rudder1#8,,SERVICE,,114,_valueCurrent=,39.6,valueTarget=,-0.0,_speedCurrent=,1.0999999999999996,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
864,0.864,B,notify,rudder_bus1,rudder_controller1,119,RequestService,rudder_controller1#1,,SERVICE,
865,0.865,B,notify,rudder_controller1_bus,rudder1,10,RequestService,rudder1#8,,SERVICE,
865,0.865,B,service,rudder_controller1_bus,rudder1,10,RequestService,rudder1#8,,SERVICE,,115,_valueCurrent=,38.5,valueTarget=,-0.0,_speedCurrent=,1.1999999999999997,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
865,0.865,B,notify,rudder_bus1,rudder_controller1,120,RequestService,rudder_controller1#1,,SERVICE,
866,0.866,B,notify,rudder_controller1_bus,rudder1,11,RequestService,rudder1#8,,SERVICE,
866,0.866,B,service,rudder_controller1_bus,rudder1,11,RequestService,rudder1#8,,SERVICE,,116,_valueCurrent=,37.3,valueTarget=,-0.0,_speedCurrent=,1.2999999999999998,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
866,0.866,B,notify,rudder_bus1,rudder_controller1,121,RequestService,rudder_controller1#1,,SERVICE,
867,0.867,B,notify,rudder_controller1_bus,rudder1,12,RequestService,rudder1#8,,SERVICE,
867,0.867,B,service,rudder_controller1_bus,rudder1,12,RequestService,rudder1#8,,SERVICE,,117,_valueCurrent=,36.0,valueTarget=,-0.0,_speedCurrent=,1.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
867,0.867,B,notify,rudder_bus1,rudder_controller1,122,RequestService,rudder_controller1#1,,SERVICE,
