tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
439,0.439,C,submit,flap_bus1,flap_controller2,0,RequestService,flap_controller2#1,,UNBOUND
439,0.439,C,submit,flap_controller2_bus,flap_split1,0,RequestService,flap_split1#2,,UNBOUND
439,0.439,D,respond,flap_controller2_bus,flap_split1,0,RequestService,flap_split1#2,,,ACCEPTED_SERVICING
439,0.439,C,submit,flap_controller2_bus,flap_split3,0,RequestService,flap_split3#3,,UNBOUND
439,0.439,D,respond,flap_controller2_bus,flap_split3,0,RequestService,flap_split3#3,,,ACCEPTED_SERVICING
439,0.439,D,respond,flap_bus1,flap_controller2,0,RequestService,flap_controller2#1,,,ACCEPTED_SERVICING
439,0.439,B,notify,flap_controller2_bus,flap_split3,1,RequestService,flap_split3#3,,SERVICE,
439,0.439,B,service,flap_controller2_bus,flap_split3,1,RequestService,flap_split3#3,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,37.5,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
439,0.439,B,notify,flap_controller2_bus,flap_split1,1,RequestService,flap_split1#2,,SERVICE,
439,0.439,B,service,flap_controller2_bus,flap_split1,1,RequestService,flap_split1#2,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,37.5,_speedCurrent=,0.15,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
439,0.439,B,notify,flap_bus1,flap_controller2,1,RequestService,flap_controller2#1,,SERVICE,
440,0.440,B,notify,flap_controller2_bus,flap_split3,2,RequestService,flap_split3#3,,SERVICE,
440,0.440,B,service,flap_controller2_bus,flap_split3,2,RequestService,flap_split3#3,,SERVICE,,2,_valueCurrent=,0.15,valueTarget=,37.5,_speedCurrent=,0.3,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
440,0.440,B,notify,flap_controller2_bus,flap_split1,2,RequestService,flap_split1#2,,SERVICE,
440,0.440,B,service,flap_controller2_bus,flap_split1,2,RequestService,flap_split1#2,,SERVICE,,3,_valueCurrent=,0.15,valueTarget=,37.5,_speedCurrent=,0.3,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
